map_id,player,team,agent,kills,deaths,assists,acs,adr,hs_percent,kd_ratio,source
660373_2,SatoLEV,,Phoenix,1275,1798,413,167186146.0,0.0,0.0,0.7091212458286985,vlr
660373_2,kiNggLEV,,Astra,945,1367,312,11895147.0,0.0,0.0,0.6912948061448427,vlr
660373_2,BABYBAYG2,team_b,Vyse,19118,1147,844,237288195.0,0.0,0.0,16.667829119442022,vlr
660373_2,valynG2,team_b,Astra,16511,1064,1073,196148236.0,0.0,0.0,15.517857142857142,vlr
660373_2,trentG2,team_b,Fade,1239,1248,532,16287226.0,0.0,0.0,0.9927884615384616,vlr
660373_2,jawgemoG2,team_b,Neon,19127,1789,422,233359129.0,0.0,0.0,10.691447736165456,vlr
660373_2,leafG2,team_b,Phoenix,1477,1789,1477,196187204.0,0.0,0.0,0.8256008943543879,vlr
660373_3,SatoLEV,,Phoenix,211110,1192,651,323270431.0,0.0,0.0,177.10570469798657,vlr
660373_3,kiNggLEV,,Viper,1495,972,523,211199237.0,0.0,0.0,1.5380658436213992,vlr
660373_3,NeonLEV,,Omen,17125,972,752,245260217.0,0.0,0.0,17.618312757201647,vlr
660373_3,blowzLEV,,Fade,1174,972,853,145142154.0,0.0,0.0,1.2078189300411524,vlr
660373_3,spikeLEV,,Neon,1266,1183,853,188159247.0,0.0,0.0,1.0701606086221471,vlr
660373_3,leafG2,team_b,Viper,14311,1468,321,210192219.0,0.0,0.0,9.748637602179835,vlr
660373_3,trentG2,team_b,Fade,826,1468,1248,168149179.0,0.0,0.0,0.5626702997275205,vlr
660373_3,BABYBAYG2,team_b,Vyse,808,1468,523,15549209.0,0.0,0.0,0.5504087193460491,vlr
660373_3,valynG2,team_b,Astra,862,16610,1028,14627284.0,0.0,0.0,0.0518964479229379,vlr
660373_3,jawgemoG2,team_b,Raze,11011,17611,101,1929285.0,0.0,0.0,0.6252342286071205,vlr
660375_0,nerveFUR,,Omen,1284,1495,642,212201239.0,0.0,0.0,0.8588628762541806,vlr
660375_0,alymFUR,,Neon,963,1495,321,170168179.0,0.0,0.0,0.6441471571906354,vlr
660375_0,eeiuFUR,,Fade,541,1495,440,11112482.0,0.0,0.0,0.3618729096989966,vlr
660375_0,koalanoobFUR,,Raze,871,16115,321,15718691.0,0.0,0.0,0.0540490226497052,vlr
660375_0,artzinFUR,,Vyse,211,14104,321,564194.0,0.0,0.0,0.0149602949517867,vlr
660375_0,brawkNRG,team_b,Vyse,20911,826,918,337474281.0,0.0,0.0,25.31598062953995,vlr
660375_0,EthanNRG,team_b,Fade,1248,413,514,178202169.0,0.0,0.0,3.0217917675544794,vlr
660375_0,madaNRG,team_b,Neon,15312,927,844,241157277.0,0.0,0.0,16.51779935275081,vlr
660375_0,skubaNRG,team_b,Viper,1468,835,826,236330197.0,0.0,0.0,1.7580838323353294,vlr
660375_0,keikoNRG,team_b,Omen,1129,725,826,16287194.0,0.0,0.0,1.5572413793103448,vlr
660375_2,eeiuFUR,,Sova,21912,1587,615,289289290.0,0.0,0.0,13.80718336483932,vlr
660375_2,artzinFUR,,Cypher,20317,1688,514,26498389.0,0.0,0.0,12.036137440758294,vlr
660375_2,koalanoobFUR,,Jett,1138,1486,312,156143167.0,0.0,0.0,0.765814266487214,vlr
660375_2,nerveFUR,,Omen,945,1679,1129,136161118.0,0.0,0.0,0.5628350208457416,vlr
660375_2,alymFUR,,Phoenix,1037,1688,716,157122184.0,0.0,0.0,0.6143364928909952,vlr
660375_2,brawkNRG,team_b,Sova,18135,1183,1174,268308215.0,0.0,0.0,15.32967032967033,vlr
660375_2,keikoNRG,team_b,Phoenix,20416,15114,1587,304166488.0,0.0,0.0,1.3508005822416302,vlr
660375_2,madaNRG,team_b,Neon,19109,14104,101,218179270.0,0.0,0.0,1.3548638684061258,vlr
660375_2,EthanNRG,team_b,Omen,1064,1596,1257,149161133.0,0.0,0.0,0.6666666666666666,vlr
660375_2,skubaNRG,team_b,Cypher,1055,16115,220,122121125.0,0.0,0.0,0.0654669562519391,vlr
660376_0,bang100T,,Harbor,22166,752,1091,286323213.0,0.0,0.0,29.47606382978724,vlr
660376_0,Cryocells100T,,Cypher,14113,963,752,214250144.0,0.0,0.0,14.655244029075805,vlr
660376_0,Asuna100T,,Phoenix,1394,963,541,198207181.0,0.0,0.0,1.4475597092419523,vlr
660376_0,Timotino100T,,Neon,16106,1174,422,248205333.0,0.0,0.0,13.718909710391824,vlr
660376_0,vora100T,,Sova,1284,1073,660,196199192.0,0.0,0.0,1.1966449207828518,vlr
660376_0,erdeLOUD,team_b,Astra,1257,15510,404,205260178.0,0.0,0.0,0.0810444874274661,vlr
660376_0,cauanzinLOUD,team_b,Sova,936,14410,514,165112193.0,0.0,0.0,0.0649548924358084,vlr
660376_0,VirtyyLOUD,team_b,Jett,12012,16511,202,18514271.0,0.0,0.0,0.7275149900066622,vlr
660376_0,DarkerLOUD,team_b,KAY/O,844,15411,918,137184114.0,0.0,0.0,0.0547660761793524,vlr
660376_0,lukxoLOUD,team_b,Harbor,532,17512,725,9811789.0,0.0,0.0,0.0303791685701233,vlr
660376_2,Timotino100T,,Raze,221210,826,211,342591239.0,0.0,0.0,267.8087167070218,vlr
660376_2,Cryocells100T,,Viper,12111,615,945,18685229.0,0.0,0.0,19.692682926829267,vlr
660376_2,bang100T,,Omen,15510,1028,1156,248286232.0,0.0,0.0,15.087548638132295,vlr
660376_2,Asuna100T,,Sage,1239,826,642,207193213.0,0.0,0.0,1.5,vlr
660376_2,vora100T,,Skye,945,615,422,133181114.0,0.0,0.0,1.5365853658536586,vlr
660376_2,erdeLOUD,team_b,Omen,981,1495,321,15318088.0,0.0,0.0,0.6561872909698997,vlr
660376_2,VirtyyLOUD,team_b,Neon,1082,1385,0,149162122.0,0.0,0.0,0.7812274368231047,vlr
660376_2,cauanzinLOUD,team_b,Skye,541,1275,431,10410993.0,0.0,0.0,0.4243137254901961,vlr
660376_2,DarkerLOUD,team_b,Raze,761,15105,110,12915959.0,0.0,0.0,0.0503806686527639,vlr
660376_2,lukxoLOUD,team_b,Viper,743,16115,110,138117189.0,0.0,0.0,0.0461061123177164,vlr
660377_0,saadhakKRÜ,,Harbor,1679,1495,422,213171270.0,0.0,0.0,1.123076923076923,vlr
660377_0,mwzeraKRÜ,,Sova,1183,1284,220,14120261.0,0.0,0.0,0.9213395638629284,vlr
660377_0,Dantedeu5KRÜ,,Neon,1055,15114,220,138132146.0,0.0,0.0,0.0698028318115654,vlr
660377_0,silentzzKRÜ,,KAY/O,1257,17116,532,159120212.0,0.0,0.0,0.0734400560878709,vlr
660377_0,LessKRÜ,,Viper,954,16106,321,131134128.0,0.0,0.0,0.0592325841301378,vlr
660377_0,brawkNRG,team_b,Sova,17512,1046,927,227138295.0,0.0,0.0,16.74187380497132,vlr
660377_0,keikoNRG,team_b,Jett,20614,1165,220,245211272.0,0.0,0.0,17.69442060085837,vlr
660377_0,madaNRG,team_b,Harbor,19712,1477,936,251233265.0,0.0,0.0,13.345971563981042,vlr
660377_0,EthanNRG,team_b,KAY/O,1028,1266,12210,15286202.0,0.0,0.0,0.8120063191153238,vlr
660377_0,skubaNRG,team_b,Viper,853,1156,624,126160101.0,0.0,0.0,0.7378892733564014,vlr
660377_2,LessKRÜ,,Cypher,1495,12102,752,261250287.0,0.0,0.0,0.1235333002809453,vlr
660377_2,saadhakKRÜ,,Omen,1239,13112,523,16774394.0,0.0,0.0,0.0944935936546674,vlr
660377_2,silentzzKRÜ,,Phoenix,1082,15114,660,16920878.0,0.0,0.0,0.0715892549953685,vlr
660377_2,mwzeraKRÜ,,Fade,1064,16115,101,182166222.0,0.0,0.0,0.0660254421346571,vlr
660377_2,Dantedeu5KRÜ,,Neon,642,14113,532,128121146.0,0.0,0.0,0.0454899737830369,vlr
660377_2,brawkNRG,team_b,Sova,15411,844,707,224164250.0,0.0,0.0,18.259478672985782,vlr
