map_id,team,agent_1,agent_2,agent_3,agent_4,agent_5,source
685412_0,PÃO COM RATO,Jett,Harbor,Sova,KAY/O,Viper,vlr
685412_2,PÃO COM RATO,Vyse,Phoenix,Sova,Omen,Jett,vlr
685411_0,Angels of Delusion,Jett,Vyse,Omen,Sage,Sova,vlr
685413_2,Arashi GC,Raze,Fade,Viper,Omen,Vyse,vlr
685414_0,MIBR GC,KAY/O,Jett,Omen,Killjoy,Sova,vlr
685413_2,Arashi GC,Raze,Fade,Viper,Omen,Vyse,vlr
685414_0,MIBR GC,KAY/O,Jett,Omen,Killjoy,Sova,vlr
685411_0,Angels of Delusion,Jett,Vyse,Omen,Sage,Sova,vlr
685412_0,PÃO COM RATO,Jett,Harbor,Sova,KAY/O,Viper,vlr
685412_2,PÃO COM RATO,Vyse,Phoenix,Sova,Omen,Jett,vlr
685317_0,ROLO COMPRESSOR,Vyse,Phoenix,Neon,Omen,Fade,vlr
685317_2,ROLO COMPRESSOR,Cypher,Phoenix,Neon,Omen,Sova,vlr
685318_0,L9,Omen,Neon,Jett,Fade,Vyse,vlr
685318_2,L9,Harbor,Sova,Jett,Viper,Neon,vlr
685318_0,L9,Omen,Neon,Jett,Fade,Vyse,vlr
685318_2,L9,Harbor,Sova,Jett,Viper,Neon,vlr
685317_0,ROLO COMPRESSOR,Vyse,Phoenix,Neon,Omen,Fade,vlr
685317_2,ROLO COMPRESSOR,Cypher,Phoenix,Neon,Omen,Sova,vlr
678026_0,Chivas Esports,Viper,Astra,Jett,Skye,Raze,vlr
678026_2,Chivas Esports,Omen,Sova,Cypher,Jett,Phoenix,vlr
678027_0,LAZER,Chamber,Sova,Harbor,Phoenix,Neon,vlr
678027_2,LAZER,Fade,Vyse,Raze,Omen,Viper,vlr
678028_0,LYON,Phoenix,Sova,Cypher,Omen,Jett,vlr
678028_2,LYON,Phoenix,Viper,Raze,Fade,Omen,vlr
678029_0,Grizzly Gang,Sova,Astra,Neon,Phoenix,Killjoy,vlr
678029_2,Grizzly Gang,Raze,Clove,Fade,Vyse,Viper,vlr
678039_0,AB3 Esports,Reyna,Jett,Sova,Clove,Viper,vlr
678039_2,AB3 Esports,Reyna,Sova,Jett,Chamber,Clove,vlr
678040_0,Contra,Phoenix,Killjoy,Jett,Astra,Sova,vlr
678041_2,LAZER,Fade,Vyse,Viper,Raze,Omen,vlr
678043_0,LAZER,Chamber,Sova,Phoenix,Harbor,Neon,vlr
678044_2,Contra,Jett,Phoenix,Astra,Harbor,Sova,vlr
678044_3,Contra,Deadlock,Cypher,Sova,Jett,Omen,vlr
