round_id,map_id,round_number,winner,win_type,spike_planted,econ_a,econ_b,duration_seconds,source
660372_0_2,660372_0,2,draw/unknown,defuse,True,0,0,,vlr
660372_0_3,660372_0,3,draw/unknown,elimination,False,0,0,,vlr
660372_0_4,660372_0,4,draw/unknown,spike,True,0,0,,vlr
660372_0_5,660372_0,5,draw/unknown,elimination,False,0,0,,vlr
660372_0_6,660372_0,6,draw/unknown,elimination,False,0,0,,vlr
660372_0_7,660372_0,7,draw/unknown,elimination,False,0,0,,vlr
660372_0_8,660372_0,8,draw/unknown,elimination,False,0,0,,vlr
660372_0_9,660372_0,9,draw/unknown,elimination,False,0,0,,vlr
660372_0_10,660372_0,10,draw/unknown,elimination,False,0,0,,vlr
660372_0_11,660372_0,11,draw/unknown,defuse,True,0,0,,vlr
660372_0_12,660372_0,12,draw/unknown,elimination,False,0,0,,vlr
660372_0_13,660372_0,13,draw/unknown,elimination,False,0,0,,vlr
660372_0_14,660372_0,14,draw/unknown,elimination,False,0,0,,vlr
660372_0_15,660372_0,15,draw/unknown,defuse,True,0,0,,vlr
660372_0_16,660372_0,16,draw/unknown,elimination,False,0,0,,vlr
660372_0_17,660372_0,17,draw/unknown,elimination,False,0,0,,vlr
660372_0_18,660372_0,18,draw/unknown,spike,True,0,0,,vlr
660372_0_19,660372_0,19,draw/unknown,defuse,True,0,0,,vlr
660372_0_20,660372_0,20,draw/unknown,spike,True,0,0,,vlr
660372_0_21,660372_0,21,draw/unknown,defuse,True,0,0,,vlr
660372_0_22,660372_0,22,draw/unknown,elimination,False,0,0,,vlr
660372_0_23,660372_0,23,draw/unknown,elimination,False,0,0,,vlr
660372_0_24,660372_0,24,draw/unknown,elimination,False,0,0,,vlr
660372_2_1,660372_2,1,draw/unknown,elimination,False,0,0,,vlr
660372_2_1,660372_2,1,draw/unknown,elimination,False,0,0,,vlr
660372_2_1,660372_2,1,draw/unknown,elimination,False,0,0,,vlr
660372_2_2,660372_2,2,draw/unknown,elimination,False,0,0,,vlr
660372_2_3,660372_2,3,draw/unknown,defuse,True,0,0,,vlr
660372_2_4,660372_2,4,draw/unknown,elimination,False,0,0,,vlr
660372_2_5,660372_2,5,draw/unknown,elimination,False,0,0,,vlr
660372_2_6,660372_2,6,draw/unknown,elimination,False,0,0,,vlr
660372_2_7,660372_2,7,draw/unknown,defuse,True,0,0,,vlr
660372_2_8,660372_2,8,draw/unknown,elimination,False,0,0,,vlr
660372_2_9,660372_2,9,draw/unknown,elimination,False,0,0,,vlr
660372_2_10,660372_2,10,draw/unknown,elimination,False,0,0,,vlr
660372_2_11,660372_2,11,draw/unknown,defuse,True,0,0,,vlr
660372_2_12,660372_2,12,draw/unknown,defuse,True,0,0,,vlr
660372_2_13,660372_2,13,draw/unknown,elimination,False,0,0,,vlr
660372_2_14,660372_2,14,draw/unknown,elimination,False,0,0,,vlr
660372_2_15,660372_2,15,draw/unknown,defuse,True,0,0,,vlr
660372_2_16,660372_2,16,draw/unknown,elimination,False,0,0,,vlr
660372_2_17,660372_2,17,draw/unknown,elimination,False,0,0,,vlr
660372_2_18,660372_2,18,draw/unknown,elimination,False,0,0,,vlr
660372_2_19,660372_2,19,draw/unknown,elimination,False,0,0,,vlr
